p,g,output1,output2,output3,
1,1,,29401,29403,29384
2,1,,15167,15153,15153
4,1,,13376,13468,13443
8,1,,8078,8071,8151
12,1,,5990,5889,5887
16,1,,4675,4671,4628
24,1,,3504,3386,3454
32,1,,3167,2953,2971
1,4,,29252,29263,29282
2,4,,15179,15189,15097
4,4,,8122,8091,8106
8,4,,4613,4620,4679
12,4,,3264,3373,3286
16,4,,2693,2778,2733
24,4,,2508,2517,2491
32,4,,2452,2464,2457
1,16,,29490,29378,29381
2,16,,15205,15056,14994
4,16,,7847,7846,7885
8,16,,4146,4194,4164
12,16,,3002,3002,2985
16,16,,2569,2508,2542
24,16,,2393,2400,2385
32,16,,2372,2354,2377
